"Date","type","Holding_Period_Return"
2015-07-21,"Fund",0.0511496096251782
2015-07-21,"Benchmark",-0.00452105114439116
2015-07-22,"Composite",0.0382418727257425
2015-07-22,"Fund",0.0520806721277636
2015-07-22,"Benchmark",-0.00480361684091557
2015-07-23,"Composite",0.0396754614012853
2015-07-23,"Fund",0.0530119425032007
2015-07-23,"Benchmark",-0.00489780540642371
2015-07-24,"Composite",0.0393442783531068
2015-07-24,"Fund",0.0520806721277636
2015-07-24,"Benchmark",-0.00489780540642371
2015-07-27,"Composite",0.0405366869383796
2015-07-27,"Fund",0.0539429010693602
2015-07-27,"Benchmark",-0.00518037110294811
2015-07-28,"Composite",0.040141402633407
2015-07-28,"Fund",0.0530119425032007
2015-07-28,"Benchmark",-0.00508618253744009
2015-07-29,"Composite",0.0394880027161262
2015-07-29,"Fund",0.0520806721277636
2015-07-29,"Benchmark",-0.00536874823396438
2015-07-30,"Composite",0.0401297569634
2015-07-30,"Fund",0.0520806721277636
2015-07-30,"Benchmark",-0.00555712536498076
2015-07-31,"Composite",0.0429090783413739
2015-07-31,"Fund",0.0576768171673041
2015-07-31,"Benchmark",-0.00565131393048879
2015-08-03,"Composite",0.0450426867729179
2015-08-03,"Fund",0.0586096465891286
2015-08-03,"Benchmark",-0.000282565696524406
2015-08-04,"Composite",0.0421652165211077
2015-08-04,"Fund",0.0548789525203857
2015-08-04,"Benchmark",-0.000376754262032652
2015-08-05,"Composite",0.039966122068974
2015-08-05,"Fund",0.0539462270349869
2015-08-05,"Benchmark",-0.000659319958556948
2015-08-06,"Composite",0.041235934306922
2015-08-06,"Fund",0.0558114701329326
2015-08-06,"Benchmark",-0.000753508524065305
2015-08-07,"Composite",0.0430790336456437
2015-08-07,"Fund",0.0558114701329326
2015-08-07,"Benchmark",-0.00084769708957344
2015-08-10,"Composite",0.04091545023833
2015-08-10,"Fund",0.0548789525203857
2015-08-10,"Benchmark",-0.000753508524065305
2015-08-11,"Composite",0.0447757921779275
2015-08-11,"Fund",0.0576768171673041
2015-08-11,"Benchmark",-0.00084769708957344
2015-08-12,"Composite",0.0444481915920774
2015-08-12,"Fund",0.0576768171673041
2015-08-12,"Benchmark",-0.00103607422058971
2015-08-13,"Composite",0.041908582912749
2015-08-13,"Fund",0.0558114701329326
2015-08-13,"Benchmark",-0.00113026278609785
2015-08-14,"Composite",0.0414895043378956
2015-08-14,"Fund",0.0548789525203857
2015-08-14,"Benchmark",-0.000659319958556948
2015-08-17,"Composite",0.0433134055204301
2015-08-17,"Fund",0.0548789525203857
2015-08-17,"Benchmark",-0.000565131393049034
2015-08-18,"Composite",0.0415314202126889
2015-08-18,"Fund",0.0548789525203857
2015-08-18,"Benchmark",-0.000565131393049034
2015-08-19,"Composite",0.0440799546376121
2015-08-19,"Fund",0.0576768171673041
2015-08-19,"Benchmark",-0.000941885655081354
2015-08-20,"Composite",0.0452642543781312
2015-08-20,"Fund",0.0586096465891286
2015-08-20,"Benchmark",-0.000941885655081354
2015-08-21,"Composite",0.0457949546746692
2015-08-21,"Fund",0.0595422681381017
2015-08-21,"Benchmark",-0.00084769708957344
2015-08-24,"Composite",0.0461409537952622
2015-08-24,"Fund",0.0595422681381017
2015-08-24,"Benchmark",-0.000565131393049034
2015-08-25,"Composite",0.0410483374535349
2015-08-25,"Fund",0.0576768171673041
2015-08-25,"Benchmark",-0.000659319958556948
2015-08-26,"Composite",0.0390904967379022
2015-08-26,"Fund",0.0558114701329326
2015-08-26,"Benchmark",-0.00263727983422823
2015-08-27,"Composite",0.0406829303091671
2015-08-27,"Fund",0.0567439877454796
2015-08-27,"Benchmark",-0.00263727983422823
2015-08-28,"Composite",0.0401844613544475
2015-08-28,"Fund",0.0558114701329326
2015-08-28,"Benchmark",-0.00273146839973637
2015-09-01,"Composite",0.0399073174083449
2015-09-01,"Fund",0.0586142197918653
2015-09-01,"Benchmark",-0.00160120561363852
2015-09-02,"Composite",0.0389512269547103
2015-09-02,"Fund",0.0576804549422083
2015-09-02,"Benchmark",-0.00178958274465479
2015-09-03,"Composite",0.0407319425216037
2015-09-03,"Fund",0.0586142197918653
2015-09-03,"Benchmark",-0.00197795987567106
2015-09-04,"Composite",0.0419262746494187
2015-09-04,"Fund",0.0595488161329287
2015-09-04,"Benchmark",-0.00197795987567106
2015-09-08,"Composite",0.0400445772653799
2015-09-08,"Fund",0.0576804549422083
2015-09-08,"Benchmark",-0.0020721484411792
2015-09-09,"Composite",0.0416840040061224
2015-09-09,"Fund",0.0586142197918653
2015-09-09,"Benchmark",-0.00235471413770383
2015-09-10,"Composite",0.0400002470620777
2015-09-10,"Fund",0.0576804549422083
2015-09-10,"Benchmark",-0.00254309126871988
2015-09-11,"Composite",0.0414781976789931
2015-09-11,"Fund",0.0586142197918653
2015-09-11,"Benchmark",-0.00273146839973637
2015-09-14,"Composite",0.0414845791858944
2015-09-14,"Fund",0.0586142197918653
2015-09-14,"Benchmark",-0.00273146839973637
2015-09-15,"Composite",0.036917760900423
2015-09-15,"Fund",0.0548773934739981
2015-09-15,"Benchmark",-0.00273146839973637
2015-09-16,"Composite",0.0368335473649546
2015-09-16,"Fund",0.0558114701329326
2015-09-16,"Benchmark",-0.00301403409626078
2015-09-17,"Composite",0.0413774634728348
2015-09-17,"Fund",0.0604832046011408
2015-09-17,"Benchmark",-0.00301403409626078
2015-09-18,"Composite",0.044913680652297
2015-09-18,"Fund",0.0614173851965012
2015-09-18,"Benchmark",-0.00282565696524451
2015-09-21,"Composite",0.0409519597371502
2015-09-21,"Fund",0.0586142197918653
2015-09-21,"Benchmark",-0.00301403409626078
2015-09-22,"Composite",0.0436870920260723
2015-09-22,"Fund",0.0604832046011408
2015-09-22,"Benchmark",-0.00310822266176891
2015-09-23,"Composite",0.0430645546792303
2015-09-23,"Fund",0.0595488161329287
2015-09-23,"Benchmark",-0.00339078835829332
2015-09-24,"Composite",0.0434461282933918
