"","Date","FIVFX","JFAMX","EEM","MOAT","GSPC","IXIC","EAFE","MSCIUSA","ASX200","CAC40","FGIRX","Hang","SP","N225"
"142",2015-08-24,15.89,17.870001,31.32,28,1893.209961,4526.25,1696.814,239.807,46.950001,"4383.459961",24.219999,"21251.570313","25741.560547","18540.679688"
"143",2015-08-25,16.030001,18.209999,31.719999,27.610001,1867.609985,4506.490234,1714.299,242.67,48.25,"4564.859863",23.870001,"21404.960938","26032.380859","17806.699219"
"144",2015-08-26,16.309999,18.530001,32.77,28.610001,1940.51001,4697.540039,1706.17,242.001,48.599998,"4501.049805",24.73,"21080.390625","25714.660156","18376.830078"
"145",2015-08-27,16.58,19,34.220001,29.33,1987.660034,4812.709961,1731.13,246.701,49.27,"4658.180176",25.370001,"21838.539063","26231.189453","18574.439453"
"146",2015-08-28,16.549999,19.01,33.779999,29.450001,1988.869995,4828.319824,1747.838,249.015,49.5,"4675.129883",25.43,"21612.390625","26392.380859","19136.320313"
"147",2015-08-31,16.48,18.959999,33.84,29.15,1972.180054,4776.509766,1736.808,247.651,48.990002,"4652.950195",25.27,"21670.580078","26283.089844","18890.480469"
"148",2015-09-01,16.040001,18.34,32.529999,28.23,1913.849976,4636.100098,1694.605,241.831,47.950001,"4541.160156",24.48,"21185.429688","25696.439453","18165.689453"
"149",2015-09-02,16.190001,18.559999,33,28.709999,1948.859985,4749.97998,1689.896,241.03,48.049999,"4554.919922",24.879999,"20934.939453","25453.560547","18095.400391"
"150",2015-09-04,15.99,18.18,32.139999,28.4,1921.219971,4683.919922,1671.12,238.53,47.529999,"4523.080078",24.559999,"20840.609375","25201.900391","17792.160156"
"151",2015-09-08,16.27,18.41,33.16,29.09,1969.410034,4811.930176,1691.384,240.984,48.299999,"4598.259766",25.129999,"21259.039063","25317.869141","17427.080078"
"152",2015-09-09,16.26,18.4,32.990002,28.549999,1942.040039,4756.529785,1730.592,246.194,49.490002,"4664.589844",24.76,"22131.310547","25719.580078","18770.509766"
"153",2015-09-10,16.32,18.4,33.330002,28.58,1952.290039,4796.25,1710.228,243.702,48.25,"4596.529785",24.870001,"21562.500000","25622.169922","18299.619141"
"154",2015-09-11,16.33,18.370001,33.459999,28.58,1961.050049,4822.339844,1704.822,242.851,47.889999,"4548.720215",24.91,"21504.369141","25610.210938","18264.220703"
"155",2015-09-14,16.280001,18.49,33.41,28.389999,1953.030029,4805.759766,1697.791,242.359,48.220001,"4518.149902",24.77,"21561.900391","25856.699219","17965.699219"
"156",2015-09-15,16.360001,18.549999,33.73,28.67,1978.089966,4860.52002,1701.52,242.812,47.529999,"4569.370117",25.129999,"21455.230469","25705.929688","18026.480469"
"157",2015-09-16,16.549999,18.99,34.549999,29.01,1995.310059,4889.240234,1728.451,247.052,48.32,"4645.839844",25.379999,"21966.660156","25963.970703","18171.599609"
"158",2015-09-18,16.43,18.790001,33.830002,28.620001,1958.030029,4827.22998,1713.961,245.917,48.939999,"4535.850098",24.76,"21920.830078","26218.910156","18070.210938"
